virus,shed.onset,symptom.onset,individual,author,year
Influenza A,2,3,TRUE,Memoli,2015
Influenza A,1,1.5,TRUE,Memoli,2020
Influenza A,1,1,FALSE,Memoli,2016
Influenza A,1,1,FALSE,Wilkinson,2012
Influenza A,1,2,FALSE,Ramos,2015
Influenza A,1.8,1.5625,FALSE,Lillie,2012
Influenza A,0.4,1,FALSE,Sloan,2020
Influenza A,2.583333333,2.583333333,TRUE,Grzesiak,2021
Influenza A,1.4375,2,FALSE,Eiden,2022
Norovirus,2,2,FALSE,Kirby,2014
Norovirus,1,1.383333333,FALSE,Bernstein,2015
Norovirus,1.52,1.06,TRUE,Ge,2023
Norovirus,3.125,2.75,TRUE,Leon,2011
Rhinovirus,1,1,FALSE,Mallia,2011
Rhinovirus,3,1,FALSE,Lutter,2021
Rhinovirus,2,6,FALSE,Message,2008
Rhinovirus,5,3,FALSE,Mallia,2012
Rhinovirus,1,0,FALSE,DeMore,2009
Rhinovirus,1,1,FALSE,Spurrell,2005
Rhinovirus,2,3,FALSE,Mallia,2006
Rhinovirus,1,1,FALSE,Peterson,2009
Rhinovirus,2.125,2.5,FALSE,Fullen,2016
Rhinovirus,1,1,FALSE,Hayden,2003
Rhinovirus,1.7,2,FALSE,Jackson,2014
Rhinovirus,1.3,0.8,TRUE,Grzesiak,2021
RSV,3.1,4,FALSE,DeVincenzo,2010
RSV,0.5,0.5,FALSE,DeVincenzo,2020
RSV,3,1,FALSE,Lee,2004
RSV,1,5,FALSE,Jozwik,2015
RSV,2,4.5,FALSE,Jordan,2023
RSV,3.5,3,FALSE,DeVincenzo,2010
RSV,3,4,FALSE,Guvenel,2019
RSV,2,2.9,FALSE,Sadoff,2022
RSV,4,3,FALSE,Habibi,2020
RSV,2.8,1.5,FALSE,DeVincenzo,2014
RSV,0.5,0.666666667,FALSE,DeVincenzo,2015
RSV,3.3,5,FALSE,Schmoele-Thoma,2022
RSV,0.5,0.67,FALSE,DeVincenzo,2022
RSV,3,1.7,TRUE,Kelly,2015
RSV,2,4,FALSE,Bagga,2018
SARS-CoV-2,2.41,2.75,TRUE,Zhou,2023
SARS-CoV-2,1.666666667,2,FALSE,Killingley,2022
